Language,language family,secondary family,Stress system type,Rightward primary stress,Consonant duration,Correlates for Primary/secondary different?,duration,pitch,intensity,Primary correlate,Vowel reduction,Length = contrastive,Length: affected by other qualities,Pitch = contrastive,final lapse,final lapse morpheme specific,source(s)
Aleut,Eskimo–Aleut,Aleut,0,1,,,1,0,0,1,1,1,,0,,,"Taff et al. (2001), Bergsland (1997)"
Anejom,Austronesian,Central-Eastern,1,1,,0,0,1,1,,0,1,,0,1,,Lynch (2000)
Apuriña,Arawakan,Southern,1,1,,0,0,1,0,2,0,1,,0,1,1,"Pickering (1971/2009), da Silva Facundes, (2000)"
Arabela,Zaparoan,Arabela–Andoa,0,0,3,,1,0,1,,0,1,,0,,,Rich (1963)
Arabic (Ammani-Jordanian),Semitic,Central Semitic,0,1,,,1,1,1,,0,2,,0,,,"de Jong & Zawaydeh (1999), Zawaydeh & Davis (1999)"
Arabic (Syrian),Semitic,Central Semitic,0,0,,,0,1,0,2,0,0,1,0,,,Cowell (1964)
Ashéninka Perené,Arawakan,Southern,1,1,,0,1,1,1,,0,1,,0,1,1,Mihas (2010)
Awara,Trans-New Guinea,Finisterre-Huon,1,1,,0,0,1,1,,0,0,,0,0,,Quigley (2003)
Awtuw,Sepik-Ramu,Sepik,2,0,,0?,0,1,1,,0,0,,0,,,Feldman (1986)
Baonan/Bonan,Mongolic,Shirongolic,0,1,,,0,1,1,,0,0,1,0,,,"Li (1986), Chuluu (1994), Hugjiltu (2003)"
Bardi,Nyulyulan,Western,2,0,,0,1,1,1,,1,1,,0,,,"Metcalfe (1971), Bowern (2004)"
Bariai,Austronesian,Malayo-Polynesian,0,1,,,0,1,1,,0,3,,0,,,Gallagher & Baehr (2005)
Barok (Usen),Austronesian,Malayo-Polynesian,2,1,,0,1,,1,,0,1,,0,,,Du (2010)
Beja,Afro-Asiatic,Cushitic,0,,,,0,1,1,,0,1,,0,,,"Wedekind, Wedekind, & Musa (2008), Vanhove (2014)"
Belep,Austronesian,Malayo-Polynesian,0,1,,,1,0,0,1,0,0,,0,,,McCracken (2012)
Bhojpuri,Indo-European,Indo-Iranian,2,1,,0,0,1,1,,1,1,,0,,,Shukla (1981)
Biak,Austronesian,Malayo-Polynesian,0,1,,,1,1,1,,0,1,1,0,,,van den Heuvel (2006)
